name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost,listed_in(type)
House Of Commons,No,Yes,4.8,4390,Koramangala 5th Block,Bar,"Continental, Asian, North Indian",1000,Delivery
Haji Ali Juice Centre,Yes,No,4.0,152,Koramangala 5th Block,"Beverage Shop, Quick Bites","Beverages, Fast Food, Desserts",350,Delivery
Happy Brew,No,Yes,4.0,2151,Koramangala 5th Block,Lounge,"Continental, American, Chinese, BBQ, Salad",1000,Delivery
The Juicy,Yes,No,3.5,13,JP Nagar,Beverage Shop,"Beverages, Juices",100,Delivery
Krishna Grand,Yes,No,3.2,42,HSR,Quick Bites,South Indian,200,Delivery
Shri Vinayaka Ice N Juice,Yes,No,3.7,17,Jayanagar,Quick Bites,"Fast Food, Beverages",200,Delivery
Upahara Sagar,Yes,No,3.0,25,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
Namms Cafe,Yes,No,3.1,7,Koramangala 2nd Block,Delivery,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",300,Delivery
Over The Top Terrace Lounge,No,Yes,3.9,1388,Koramangala 5th Block,Lounge,"Continental, North Indian",1400,Delivery
Tella Tales,Yes,No,4.2,413,Koramangala 5th Block,Cafe,"Cafe, Desserts, Beverages",700,Delivery
M World Cafe,Yes,No,3.5,14,Koramangala 1st Block,Cafe,Cafe,500,Delivery
Targaryen's Kitchen,Yes,No,3.6,43,JP Nagar,Casual Dining,"Chinese, North Indian, Mughlai",600,Delivery
Heritage Cafe,Yes,No,3.6,11,Jayanagar,Quick Bites,"Fast Food, Tea",200,Delivery
Sampoorna,Yes,No,3.6,70,JP Nagar,Casual Dining,"Chinese, North Indian",600,Delivery
Namaste Kitchen,Yes,No,3.8,172,Koramangala 5th Block,Casual Dining,"North Indian, South Indian, Chinese",400,Delivery
India On Wheels,Yes,No,3.6,11,Koramangala 3rd Block,Delivery,North Indian,400,Delivery
Naati Biriyani,Yes,No,3.1,4,BTM,Quick Bites,"Kebab, Biryani",300,Delivery
Namma Halli Jonne Biryani,Yes,No,3.3,4,Bannerghatta Road,Quick Bites,Biryani,300,Delivery
California Burrito,No,No,4.1,1223,Koramangala 5th Block,Quick Bites,"Mexican, Fast Food",400,Delivery
Royal Treat,No,No,4.1,435,Koramangala 5th Block,Casual Dining,"North Indian, Chinese, Biryani",500,Delivery
Moghul Durbar Restaurant,No,No,4.0,335,Jayanagar,Casual Dining,"North Indian, BBQ, Kebab, Rolls",550,Delivery
Enerjuvate Studio & Cafe,No,Yes,4.4,464,Koramangala 4th Block,Cafe,"Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800,Delivery
Checkpost,Yes,No,4.1,956,JP Nagar,Casual Dining,"South Indian, Seafood, North Indian, Beverages",600,Delivery
Market Table,No,Yes,4.5,546,Koramangala 5th Block,Cafe,"Cafe, Continental, Mediterranean, Beverages",900,Delivery
Anjappar,No,No,3.9,1155,Koramangala 4th Block,Casual Dining,"Chettinad, South Indian",650,Delivery
Nandhana Palace,No,Yes,4.1,770,Koramangala 4th Block,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800,Delivery
Indian Coffee House & Restaurant,No,No,4.1,674,Koramangala 5th Block,Casual Dining,"South Indian, North Indian, Chinese",650,Delivery
Samosa Party,No,No,4.1,42,Koramangala 5th Block,Quick Bites,"Street Food, Fast Food",150,Delivery
Mak n Vak - Fyn,Yes,No,3.9,337,HSR,Quick Bites,"North Indian, Chinese",500,Delivery
Johnny Fox,No,No,3.9,66,Hosur Road,Bar,"North Indian, Chinese",1500,Delivery
The Yellow Tuk-Tuk Cafe,Yes,No,3.6,16,Koramangala 5th Block,Cafe,"Cafe, Continental, Beverages",500,Delivery
Baba Da Dhaba,No,Yes,4.1,446,Koramangala 7th Block,Casual Dining,North Indian,650,Delivery
The ThickShake Factory,No,No,4.3,235,Koramangala 7th Block,Beverage Shop,"Beverages, Juices",350,Delivery
Navya Andhra Style Restaurant,No,No,3.5,12,Hosur Road,Delivery,"North Indian, South Indian",200,Delivery
Hari Super Sandwich,No,No,4.0,161,Jayanagar,Quick Bites,"Fast Food, Street Food",200,Delivery
Taj Durbar,No,No,3.8,83,Jayanagar,Quick Bites,"North Indian, BBQ",400,Delivery
Hatti Punjab Di,No,No,3.3,24,HSR,Casual Dining,"North Indian, Chinese",600,Delivery
Hyderabad Bawarchi,No,No,3.9,118,Jayanagar,Casual Dining,"North Indian, Biryani, Chinese",800,Delivery
Malabar Cafe,Yes,No,3.3,4,Bannerghatta Road,Quick Bites,"South Indian, Kerala, Biryani",400,Delivery
Shree Thali,No,No,4.0,181,Koramangala 5th Block,Mess,North Indian,150,Delivery
Gundappa Donne Biryani,No,No,3.1,117,Koramangala 7th Block,Quick Bites,Biryani,200,Delivery
Ambur Biryani,No,No,3.5,17,Koramangala 3rd Block,Quick Bites,"Biryani, Chinese",250,Delivery
Panjabi Dhaba,No,No,3.2,21,Bommanahalli,Quick Bites,"North Indian, Chinese",300,Delivery
Star Kitchen,No,No,3.3,9,Bommanahalli,Quick Bites,"Chinese, North Indian, Biryani",150,Delivery
Flavorsome Bakes,No,No,4.0,93,Bannerghatta Road,"Takeaway, Delivery","Bakery, Desserts",800,Delivery
Cafe Arabica,No,No,3.8,69,Bannerghatta Road,"Cafe, Bakery","Cafe, Bakery",700,Delivery
North Indian And Bengali Mess,No,No,3.7,34,Koramangala 5th Block,Mess,"North Indian, Bengali",300,Delivery
The Donut Baker,No,No,3.8,62,Koramangala 7th Block,"Bakery, Dessert Parlor",Desserts,150,Delivery
Food Theory,No,No,2.6,56,HSR,Delivery,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500,Delivery
Momos Corner,No,No,3.3,6,HSR,Quick Bites,Chinese,250,Delivery
Daily Bread,No,No,3.2,63,JP Nagar,"Bakery, Quick Bites","Bakery, Fast Food, Italian",600,Delivery
Rotti Mane,No,No,3.6,13,Jayanagar,Quick Bites,South Indian,200,Delivery
Jaganath Restaurant And Hotel,No,No,3.2,8,JP Nagar,Quick Bites,North Indian,300,Delivery
Meal In A Box,No,No,3.6,16,Koramangala 7th Block,Delivery,Street Food,300,Delivery
Multi Cakes,No,No,3.7,44,JP Nagar,Dessert Parlor,"Bakery, Desserts",200,Delivery
Cake Art,No,No,2.9,27,JP Nagar,"Bakery, Quick Bites",Bakery,400,Delivery
The Sandesh Factory,No,No,3.2,4,Bannerghatta Road,Sweet Shop,"Mithai, Desserts",150,Delivery
Pai's Kitchen,No,No,3.5,11,Koramangala 2nd Block,Quick Bites,South Indian,200,Delivery
Good Bread,No,No,3.6,14,JP Nagar,Bakery,"Bakery, Desserts",300,Delivery
UNIK Food,No,No,3.3,4,Jayanagar,Quick Bites,"North Indian, Chinese",300,Delivery
Adi's Cake N Cafe,No,No,3.3,4,Bannerghatta Road,Bakery,Bakery,400,Delivery
Jiyo Natural,No,No,3.6,14,South Bangalore,Delivery,"Healthy Food, North Indian",300,Delivery
Sultan's Biryani,No,No,3.0,12,Bannerghatta Road,Delivery,"Biryani, North Indian",700,Delivery
Kyakhanahai,No,No,3.4,8,Koramangala 5th Block,Delivery,"North Indian, South Indian",400,Delivery
D2V Cafe,No,No,3.6,13,Bannerghatta Road,Cafe,Cafe,700,Delivery
RICE BAR,No,No,3.1,7,Bannerghatta Road,Delivery,"North Indian, Biryani",500,Delivery
Le Rosa Restaurant,No,No,3.2,4,HSR,Casual Dining,"North Indian, Mughlai, Biryani",700,Delivery
Little Shangai,No,No,3.3,4,Bannerghatta Road,Food Court,"Chinese, North Indian, Fast Food",400,Delivery
Mysore Carnival Restaurant,No,No,3.8,14,Koramangala 6th Block,Quick Bites,"Chinese, Kerala, North Indian, South Indian",350,Delivery
SVR Foods - Night Ka Khana,No,No,3.5,15,JP Nagar,Delivery,"North Indian, South Indian",400,Delivery
Ronnie's Kitchen,No,No,3.1,12,Koramangala 5th Block,Quick Bites,Chinese,200,Delivery
The Tower Of Pizza,No,No,2.9,16,Koramangala 5th Block,Quick Bites,"Pizza, Italian",500,Delivery
Indian Dhaba,No,No,3.3,7,HSR,Casual Dining,"North Indian, Chinese",450,Delivery
Banashankari Donne Biriyani,No,No,3.3,4,Koramangala 7th Block,Quick Bites,"South Indian, Biryani",300,Delivery
S.W.A.T Food Truck,No,No,3.7,21,Koramangala 5th Block,Quick Bites,"American, Fast Food",250,Delivery
The Little Kitchen,No,No,3.8,27,Jayanagar,Quick Bites,"Chinese, Momos",300,Delivery
The Night King,No,No,3.3,4,Koramangala 7th Block,"Takeaway, Delivery","North Indian, Chinese",400,Delivery
Niice Cream,No,No,3.8,38,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Beverages, Desserts",400,Delivery
Prakruthi Restaurant,No,No,3.2,4,Bommanahalli,Quick Bites,"Andhra, North Indian",400,Delivery
Chai Mane,No,No,3.0,8,Koramangala 5th Block,Quick Bites,"Juices, Fast Food",150,Delivery
Desi Breakk,No,No,3.3,7,HSR,Delivery,North Indian,150,Delivery
TGS Retails,No,No,3.3,4,HSR,"Takeaway, Delivery","Bakery, Desserts",600,Delivery
Cafe Choco Craze,No,No,3.7,9,Bannerghatta Road,Cafe,"Cafe, Fast Food, Desserts",400,Delivery
Grand Chillies,No,No,3.4,7,HSR,Quick Bites,"North Indian, Chinese, Biryani",400,Delivery
Kanha's Kafe,No,No,3.5,12,Koramangala 5th Block,Quick Bites,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",200,Delivery
FrostBite,No,No,3.5,15,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Desserts, Fast Food",400,Delivery
Sandwich Mamas,No,No,3.2,4,Bannerghatta Road,Quick Bites,Fast Food,300,Delivery
Hotel Lakshmi Paradise,No,No,3.3,7,Bannerghatta Road,Quick Bites,"North Indian, Mughlai",400,Delivery
Jodhpur Jaika,No,No,3.3,4,Bommanahalli,Quick Bites,"North Indian, Street Food",200,Delivery
Lets cafe,No,No,3.5,6,Koramangala 5th Block,Quick Bites,"Chinese, North Indian",250,Delivery
Homfrez.com,No,No,3.4,8,Koramangala 1st Block,Delivery,"Biryani, Chettinad, Kerala, Maharashtrian, North Indian",400,Delivery
Malabar Mint,No,No,3.4,39,Koramangala 5th Block,Casual Dining,"Kerala, North Indian, Chinese",700,Delivery
Desi Bites,No,No,3.3,4,Bannerghatta Road,Food Court,Street Food,200,Delivery
The Denny's,No,No,3.7,91,Jayanagar,Casual Dining,"North Indian, Chinese",900,Delivery
Sri Lakshmi Dhaba,No,No,3.0,17,Bommanahalli,Quick Bites,"North Indian, Chinese",300,Delivery
Hotel Palace,Yes,No,3.7,24,HSR,Quick Bites,"Biryani, Chinese",250,Delivery
Desi Vdesi,Yes,No,3.8,50,BTM,Quick Bites,"Fast Food, North Indian, Rolls",250,Delivery
Sk Grand Hotel,No,No,3.2,6,Jayanagar,Casual Dining,South Indian,400,Delivery
Maxpresso,Yes,No,4.1,323,Koramangala 7th Block,Cafe,"Cafe, American, Italian, Beverages",700,Delivery
Tasty Khaana Khazana,Yes,No,3.3,6,Bommanahalli,Quick Bites,North Indian,300,Delivery
Chaai Resto,No,No,2.7,16,Koramangala 5th Block,Beverage Shop,Beverages,300,Delivery
Just Sandwiches,Yes,No,3.6,10,BTM,Quick Bites,Sandwich,100,Delivery
House Of Lassi,Yes,No,3.6,23,Bommanahalli,Beverage Shop,"Beverages, Fast Food",250,Delivery
Kanhaiyas,Yes,No,3.6,10,Bannerghatta Road,Quick Bites,South Indian,150,Delivery
Juice Lounge,Yes,No,3.1,28,BTM,Beverage Shop,"Beverages, Healthy Food",250,Delivery
Lassi Pot,Yes,No,3.3,7,HSR,Beverage Shop,Beverages,100,Delivery
Status,Yes,No,3.3,67,Bannerghatta Road,Casual Dining,"North Indian, Chinese",600,Delivery
Aaranya Restaurant,Yes,No,3.4,212,HSR,Casual Dining,"North Indian, Chinese, Mughlai",800,Delivery
Sakshi,Yes,No,3.0,38,Bannerghatta Road,Casual Dining,"North Indian, Biryani, Chinese, Seafood",550,Delivery
Kerala Mess,Yes,No,3.4,19,Koramangala 1st Block,Quick Bites,Kerala,200,Delivery
Darjeeling Momo Adda,Yes,No,3.1,81,Bannerghatta Road,Quick Bites,"Chinese, Tibetan, North Indian, Momos",200,Delivery
Hot & Cold Hut,Yes,No,3.0,46,Koramangala 4th Block,Quick Bites,"Fast Food, Rolls, Juices",200,Delivery
Sreeraj Lassi Bar,Yes,No,4.0,87,BTM,Beverage Shop,Beverages,150,Delivery
Adithya,Yes,No,3.2,9,Jayanagar,Quick Bites,"North Indian, Chinese",400,Delivery
Kamat Swaad,Yes,No,3.9,194,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery
Cilantro,Yes,Yes,4.0,280,Koramangala 4th Block,"Casual Dining, Bar","European, American, Continental, North Indian, Steak",1500,Delivery
The Open Cafe,Yes,No,3.7,15,HSR,Cafe,"Cafe, Chinese, Continental",500,Delivery
Rimo,Yes,No,3.9,44,Koramangala 5th Block,Quick Bites,"Tibetan, Asian, Momos",500,Delivery
Diya's Findish,Yes,No,3.3,6,Bommanahalli,Quick Bites,"North Indian, Chinese, Bengali",500,Delivery
The Little Kitchen,Yes,No,3.4,8,JP Nagar,Quick Bites,"Chinese, North Indian",300,Delivery
Hot Cross Bun,Yes,No,3.3,4,Koramangala 6th Block,"Takeaway, Delivery",Fast Food,500,Delivery
Baker's Glove,Yes,No,3.4,8,Jayanagar,"Bakery, Quick Bites","Desserts, Bakery",550,Delivery
Rayaan's BBQ,Yes,No,3.3,6,BTM,Quick Bites,"North Indian, BBQ",350,Delivery
Bullet Biryani,Yes,No,3.2,9,BTM,"Takeaway, Delivery",Biryani,300,Delivery
Bajji House,Yes,No,3.5,7,HSR,Quick Bites,Street Food,100,Delivery
Biryani Spot,Yes,No,3.5,9,BTM,Quick Bites,"South Indian, Biryani",300,Delivery
Desserts Tree,Yes,No,3.8,86,Koramangala 1st Block,Sweet Shop,"Mithai, Desserts",100,Delivery
Om Sweets & Snacks,Yes,No,3.9,34,Koramangala 5th Block,Sweet Shop,"Mithai, Oriya, Bengali",150,Delivery
Cafe Mist,Yes,No,3.8,187,JP Nagar,Cafe,"Cafe, American, Continental, Italian",500,Delivery
Momos Corner,Yes,No,3.1,15,Bommanahalli,Quick Bites,"Chinese, Rolls, Momos",250,Delivery
Healthy Yummy Food Restaurant,Yes,No,3.6,16,HSR,Casual Dining,"Beverages, North Indian, Chinese, Italian",900,Delivery
Tandoor Nation,Yes,No,3.0,39,BTM,Quick Bites,"North Indian, Chinese",400,Delivery
Indian Kitchen Eateries-IKE,Yes,No,3.4,8,BTM,Quick Bites,Fast Food,150,Delivery
Kickin Burger,Yes,No,3.1,22,Jayanagar,Quick Bites,Fast Food,400,Delivery
Laa Raiba Restaurant,Yes,No,3.3,7,Bannerghatta Road,Quick Bites,"Kerala, Chinese, South Indian",300,Delivery
Shabari Kitchen,Yes,No,3.5,16,Koramangala 1st Block,Quick Bites,"South Indian, Chinese",150,Delivery
#L-81 Cafe,Yes,No,3.9,48,HSR,Quick Bites,"Fast Food, Beverages",400,Delivery
House Of Wholewheat,Yes,No,3.1,6,Koramangala 1st Block,Bakery,"Bakery, Desserts",200,Delivery
Dabba Karkhana,Yes,No,3.5,17,BTM,"Takeaway, Delivery",North Indian,300,Delivery
Hotel Tadaka House,Yes,No,3.4,7,Bommanahalli,Quick Bites,"North Indian, Chinese, Biryani",300,Delivery
Eat Sleep Eat Repeat,Yes,No,3.5,16,Koramangala 5th Block,Quick Bites,"Chinese, North Indian, Continental",200,Delivery
Insta Cafe,Yes,No,2.9,7,BTM,Cafe,"Cafe, Continental, Pizza, Italian, Beverages",400,Delivery
Aroma Fine Dine,Yes,Yes,4.0,127,HSR,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",900,Delivery
Amma's Pastries,No,No,4.2,434,BTM,Dessert Parlor,"Bakery, Desserts",400,Desserts
Choco Cheese,Yes,No,4.4,63,BTM,Dessert Parlor,"Desserts, Beverages",300,Desserts
XO Belgian Waffle,Yes,No,4.5,583,BTM,Dessert Parlor,"Desserts, Beverages",400,Desserts
Tempteys,Yes,No,4.2,250,BTM,"Dessert Parlor, Beverage Shop",Beverages,300,Desserts
LayerBite,Yes,No,4.0,17,BTM,Bakery,"Bakery, Desserts, Beverages",450,Desserts
eat.fit,Yes,No,4.5,1238,BTM,Delivery,"Healthy Food, North Indian, Biryani, Continental, Desserts",500,Desserts
Coco Barista,Yes,No,3.7,18,BTM,Cafe,"Cafe, Burger, Rolls, Beverages",400,Desserts
Waffle Head,Yes,No,4.0,48,BTM,"Dessert Parlor, Beverage Shop","Desserts, Beverages",300,Desserts
Gogula's Sweets & Chats,Yes,No,4.0,221,BTM,"Sweet Shop, Quick Bites","Mithai, Street Food, Fast Food",200,Desserts
Kanti Sweets,Yes,No,4.2,115,BTM,Sweet Shop,"Mithai, Street Food",400,Desserts
Laddoos,Yes,No,3.4,280,BTM,"Quick Bites, Sweet Shop","Street Food, Mithai",200,Desserts
Sreeraj Lassi Bar,Yes,No,4.0,87,BTM,Beverage Shop,Beverages,200,Desserts
Keventers,Yes,No,3.8,26,BTM,"Beverage Shop, Dessert Parlor","Beverages, Desserts, Ice Cream",400,Desserts
Shri Ram Sweet Centre,No,No,4.0,164,BTM,"Quick Bites, Sweet Shop","Street Food, Mithai",150,Desserts
Waffle Stories,Yes,No,4.0,71,BTM,Dessert Parlor,"Desserts, Beverages",300,Desserts
Warm Oven,Yes,No,3.9,38,BTM,Bakery,"Bakery, Desserts",500,Desserts
CakeZone,No,No,4.1,342,BTM,Bakery,"Bakery, Desserts",500,Desserts
Rock Stone Ice Cream Factory,Yes,No,4.0,138,BTM,Dessert Parlor,Ice Cream,250,Desserts
Call A Cake,Yes,No,3.6,41,BTM,Delivery,Bakery,500,Desserts
Shagun Sweets & Foods,Yes,No,3.6,223,BTM,"Sweet Shop, Quick Bites","Mithai, North Indian, Street Food, Chinese",400,Desserts
Thanco's Natural Ice Cream,Yes,No,3.8,32,BTM,Dessert Parlor,"Ice Cream, Desserts",450,Desserts
Hang10 Resto N Cafe,Yes,No,3.8,102,BTM,Casual Dining,"North Indian, Chinese, Beverages",800,Desserts
Just Bake,Yes,No,3.3,77,BTM,Bakery,Bakery,400,Desserts
Sweet Truth,Yes,No,4.0,30,BTM,Bakery,"Bakery, Desserts",500,Desserts
Yeti,No,No,3.7,22,BTM,"Quick Bites, Dessert Parlor","Fast Food, Desserts, Ice Cream",300,Desserts
Bun Town,Yes,No,4.0,207,BTM,"Cafe, Bakery","Cafe, Bakery",500,Desserts
New Surya Sweets & Snacks,No,No,3.5,7,BTM,Sweet Shop,"Mithai, Fast Food",300,Desserts
Sri Devi Baker's,No,No,3.9,41,BTM,"Bakery, Quick Bites","Bakery, Street Food",200,Desserts
KC Das - The Delite Foods,No,No,3.3,29,BTM,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Desserts
Jodhpur Sweets & Corner,No,No,3.7,22,BTM,"Dessert Parlor, Sweet Shop","Desserts, Street Food, Mithai",200,Desserts
More Than Chocolates,No,No,3.6,83,BTM,Bakery,Bakery,200,Desserts
Svadu Sweets & Savouries,No,No,3.7,26,BTM,"Quick Bites, Sweet Shop","Street Food, Mithai",200,Desserts
Freeze It,Yes,No,3.6,6,BTM,Dessert Parlor,Desserts,300,Desserts
French Bakery,No,No,3.3,7,BTM,Delivery,"Desserts, Bakery, Beverages",250,Desserts
The Cheesecake Corner,No,No,3.7,48,BTM,"Takeaway, Delivery",Desserts,400,Desserts
BTM Cakes,Yes,No,3.3,9,BTM,Bakery,"Bakery, Desserts",400,Desserts
Bangali Babu Restaurant,No,No,3.2,4,BTM,Sweet Shop,"Mithai, Desserts, Fast Food",250,Desserts
Kulfi & More,Yes,No,3.7,47,BTM,Dessert Parlor,Ice Cream,100,Desserts
Candy Cake,Yes,No,3.4,7,BTM,Bakery,Bakery,500,Desserts
Jigarthanda,No,No,3.6,13,BTM,Quick Bites,"Fast Food, Desserts, Rolls",200,Desserts
Chilld Monk,Yes,No,3.5,10,BTM,Dessert Parlor,"Desserts, Ice Cream",250,Desserts
Fritz Haber,Yes,No,3.3,5,South Bangalore,Delivery,"Ice Cream, Desserts",400,Desserts
RP Sweets,No,No,3.4,9,BTM,Sweet Shop,Mithai,300,Desserts
Gelato Pazzo,No,No,3.8,47,BTM,Dessert Parlor,Desserts,200,Desserts
Calvin's,No,No,3.7,106,BTM,Dessert Parlor,Desserts,600,Desserts
The French Loaf,No,No,3.1,32,BTM,Quick Bites,"Bakery, Desserts, Sandwich",400,Desserts
New Surya Sweets & Snacks,No,No,3.2,5,BTM,Sweet Shop,"Mithai, Street Food",350,Desserts
Whisk' N Creme',No,No,3.5,12,BTM,Bakery,Bakery,300,Desserts
Gelato Italiano,Yes,No,3.7,32,BTM,"Food Court, Dessert Parlor","Ice Cream, Bakery, Desserts",200,Desserts
Juice Shop,Yes,No,3.6,29,BTM,"Takeaway, Delivery","Juices, Beverages, Ice Cream",150,Desserts
Tangerine - Davanam Sarovar Portico Suites,Yes,Yes,4.0,157,Koramangala 2nd Block,Casual Dining,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",1100,Desserts
Kurtoskalacs,No,No,4.6,342,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Desserts, Fast Food",400,Desserts
Bonsouth,No,Yes,4.2,2626,Koramangala 5th Block,Casual Dining,"Chettinad, Andhra, Kerala",1300,Desserts
Sixth Avenue Cafe And Patisserie,No,No,4.5,210,Koramangala 5th Block,"Cafe, Dessert Parlor","Cafe, Italian, Desserts",600,Desserts
Two Friends Cauldron,Yes,Yes,4.1,496,JP Nagar,Casual Dining,"Continental, Italian, American",700,Desserts
Stoner,Yes,No,4.5,2668,Koramangala 5th Block,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,Desserts
Roundup Cafe,Yes,Yes,4.2,589,Koramangala 5th Block,Cafe,"Cafe, Continental, Beverages",800,Desserts
Lot Like Crepes,Yes,No,4.6,1028,Koramangala 7th Block,Dessert Parlor,"Desserts, Continental",550,Desserts
Corner House Ice Cream,Yes,No,4.5,847,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",400,Desserts
Krem,Yes,No,4.1,62,Koramangala 5th Block,Dessert Parlor,"Desserts, Ice Cream, Beverages, Sandwich",450,Desserts
Cakewala,Yes,No,4.3,673,Jayanagar,Dessert Parlor,"Bakery, Desserts",500,Desserts
Slate Cafe,Yes,No,4.1,71,JP Nagar,Cafe,"Cafe, Sandwich, Burger",600,Desserts
99 Pancakes,Yes,No,4.5,360,Koramangala 5th Block,"Dessert Parlor, Cafe","Desserts, Beverages, Cafe, Ice Cream",300,Desserts
Art of Delight,No,No,4.3,464,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts, Beverages",400,Desserts
Fresh Pressery Cafe,Yes,No,4.1,147,Koramangala 5th Block,Cafe,"Cafe, Healthy Food, Salad, Beverages, Desserts",1200,Desserts
Berry'd Alive,No,No,4.3,1904,Koramangala 5th Block,Dessert Parlor,Desserts,400,Desserts
Smally's Resto Cafe,Yes,Yes,4.2,1722,Koramangala 5th Block,Cafe,"Cafe, Italian, Burger, American, Steak",650,Desserts
Cream Chemistry,Yes,No,3.9,234,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts",500,Desserts
Smoor,Yes,No,4.2,605,Koramangala 7th Block,Dessert Parlor,"Desserts, Beverages",900,Desserts
The Belgian Waffle Co.,Yes,No,4.2,184,Koramangala 5th Block,Dessert Parlor,"Desserts, Beverages",350,Desserts
Crafted Plate,Yes,Yes,4.2,249,JP Nagar,"Casual Dining, Cafe","Cafe, Asian, Burger, Continental, Italian, Salad",600,Desserts
BelgYum,Yes,No,4.1,70,Koramangala 7th Block,Dessert Parlor,Desserts,400,Desserts
Belgian Waffle Factory,Yes,No,4.9,201,Koramangala 5th Block,Dessert Parlor,Desserts,400,Desserts
Polar Bear,Yes,No,4.2,220,JP Nagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Sandwich",400,Desserts
Frozen Bottle,Yes,No,4.1,244,Koramangala 5th Block,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Desserts
The Marash,Yes,No,4.3,70,Koramangala 5th Block,Dessert Parlor,"Turkish, Desserts",250,Desserts
Krispy Kreme,Yes,No,4.2,449,Koramangala 7th Block,Dessert Parlor,"Desserts, Beverages",300,Desserts
Om Sweets & Snacks,No,No,3.9,34,Koramangala 5th Block,Sweet Shop,"Mithai, Oriya, Bengali",150,Desserts
Banchharam,No,No,3.9,144,Koramangala 7th Block,"Quick Bites, Sweet Shop","Street Food, Mithai",200,Desserts
Mad Over Donuts,Yes,No,4.2,712,Koramangala 7th Block,Dessert Parlor,"Bakery, Desserts, Beverages",450,Desserts
Cream Stone,Yes,No,4.2,346,Koramangala 5th Block,Dessert Parlor,"Desserts, Ice Cream, Beverages",500,Desserts
Baskin Robbins,No,No,4.1,77,Koramangala 7th Block,Kiosk,"Ice Cream, Desserts",300,Desserts
The Waffles Hut,Yes,No,3.8,24,Koramangala 5th Block,Dessert Parlor,"Desserts, Beverages",400,Desserts
Sweet Chariot,Yes,No,4.0,189,Koramangala 7th Block,"Bakery, Dessert Parlor","Bakery, Fast Food",500,Desserts
Lassi Shop,Yes,No,4.1,216,Koramangala 5th Block,Beverage Shop,"Beverages, Ice Cream",200,Desserts
The Kream Story,Yes,No,4.1,37,Koramangala 7th Block,"Dessert Parlor, Quick Bites","Desserts, Fast Food",500,Desserts
Stoned Monkey,Yes,No,3.9,242,JP Nagar,Dessert Parlor,"Desserts, Ice Cream",500,Desserts
Cakebuy,Yes,No,3.9,72,Bannerghatta Road,Dessert Parlor,Desserts,350,Desserts
WAFL Co,Yes,No,4.2,53,Koramangala 5th Block,Dessert Parlor,"Desserts, Beverages",400,Desserts
World of Waffles,Yes,No,3.9,191,JP Nagar,Dessert Parlor,Desserts,400,Desserts
WAFL,Yes,No,4.0,42,Bannerghatta Road,Food Court,"Desserts, Beverages, American",400,Desserts
Kwality Cakes N Bakes,Yes,No,3.7,94,HSR,Bakery,"Bakery, Desserts",400,Desserts
Haagen Dazs,Yes,No,3.9,82,Koramangala 7th Block,Dessert Parlor,"Ice Cream, Desserts",800,Desserts
Frolic,Yes,No,4.2,37,Koramangala 7th Block,Dessert Parlor,"Juices, Ice Cream",200,Desserts
Maxpresso,No,No,4.1,324,Koramangala 7th Block,Cafe,"Cafe, American, Italian, Beverages",700,Desserts
Haji Ali Juice Centre,Yes,No,4.0,153,Koramangala 5th Block,"Beverage Shop, Quick Bites","Beverages, Fast Food, Desserts",350,Desserts
Cookie Man,Yes,No,4.0,100,Koramangala 7th Block,Dessert Parlor,Bakery,150,Desserts
The Chocolate Room,Yes,No,3.9,155,JP Nagar,Food Court,"Cafe, Desserts",400,Desserts
Juicy,No,No,3.9,43,Koramangala 5th Block,Beverage Shop,"Beverages, Juices, Fast Food",200,Desserts
Cakes And Crumbs,No,No,3.4,8,JP Nagar,Dessert Parlor,Bakery,350,Desserts
Smooth,Yes,No,3.7,24,Bannerghatta Road,Food Court,"Desserts, Ice Cream",500,Desserts
Flavorsome Bakes,No,No,4.0,94,Bannerghatta Road,"Takeaway, Delivery","Bakery, Desserts",800,Desserts
Ice Stone Creamery,Yes,No,3.7,42,Jayanagar,Dessert Parlor,"Desserts, Ice Cream",400,Desserts
Brownie Heaven,Yes,No,4.0,25,Koramangala 5th Block,Dessert Parlor,Desserts,300,Desserts
Iyengar's Bakery,No,No,3.5,11,Koramangala 6th Block,Bakery,"Bakery, Fast Food",200,Desserts
